Timestamp,Age,Gender,Hometown (include only state and city),Major/majors,favorite genre #1,favorite genre #2,favorite genre #3,Who is your favorite artist(s)?,How many hours per day do you listen to music? ,Do you play any instrument,What instrument do you play?,Are you an introvert or extrovert? ,What are your hobbies? If it's more than one please put commas in between your responses. ,What is/are your favorite color(s)? 
2/19/2024 13:24:11,20,nonbinary,"Livermore, CA",BioInformatics (BI34),k-pop,reggaeton,hiphop/rap,ATEEZ,3,Yes,"violin, piano",Introvert,"knitting, gaming, baking",Blue
2/19/2024 14:21:44,21,Female,Albany NY,Cognitive Science,folk,pop,rock,"Hozier, Noah Kahan, Ryan Beatty",7,Yes,piano,Introvert,"painting, reading, bullet journaling","Blue, Brown, Green"
2/20/2024 15:03:44,22,Female,"Sacramento, CA",Computer Science and Economics,Alternative,rock,punk,Imagine Dragons,12,No,,Introvert,crochet,"Blue, Black, Purple, White"
2/20/2024 15:03:48,18,Female,"San Luis Obispo, CA",Bioengineering: biotechnology major/ General Biology minor,country,pop,rock,Brad Paisley,2,Yes,piano,Extrovert,"Swimming, going on hikes",Blue
2/20/2024 15:20:24,18,Male,"San Diego, CA",CS,k-pop,pop,house,UPSAHL,4,No,,Introvert,"Programming, Video Games",Purple
2/20/2024 15:45:58,20,Female,"Folsom, CA",Computer science,EDM,rock,folk,Porter Robinson,3.5,Yes,piano,Introvert,"digital art, music, weightlifting","Black, Purple, White"
2/20/2024 16:31:04,20,Female,"Mexicali, Mexico",Human Biology,R&B,reggaeton,hiphop/rap,"Bad Bunny, Kendrick Lamar, Olivia Rodrigo",4,No,,Extrovert,"Watching movies, chess","Pink, Green, Black"
2/20/2024 16:36:39,18,Female,"Temecula, CA",Math-CS,j-pop,k-pop,rock,"mafumafu, ado, yuu miyashita, natori, blackpink, new jeans, skz",5+,Yes,"piano, clarinet",Introvert,"video games, art, crochet, singing","Blue, Green, Purple"
2/20/2024 18:19:20,21,Female,"San Clemente, CA",Psychology / Political Science,pop,rock,folk,Taylor Swift,5,Yes,"guitar, piano",Extrovert,"reading,karaoke,exploring","Red, Pink, Blue, Purple"
2/20/2024 19:10:53,21,Female,"San Francisco, California",Business Psychology,EDM,R&B,pop,Odesza,4,No,,Extrovert,Gym,"Blue, Brown, Green"
